tt0100507;rocky_v;1990;5.2;0;0;0.00;0;0.00;Drama;Sport
tt0046250;roman_holiday;1953;8.1;3;7;15.25;0;0.00;Comedy;Romance
tt3170832;room;2015;8.2;1;3;7.25;1;1.00;Drama
tt1839492;ruby_sparks;2012;7.2;0;0;0.00;0;0.00;Comedy;Drama;Fantasy
tt0130827;run_lola_run;1998;7.8;0;0;0.00;0;0.00;Crime;Drama;Thriller
tt1979320;rush;2013;8.1;0;0;0.00;0;0.00;Action;Biography;Drama
tt1441952;salmon_fishing_in_the_yemen;2011;6.8;0;0;0.00;0;0.00;Comedy;Drama;Romance
tt0120815;saving_private_ryan;1998;8.6;5;6;17.88;0;0.00;Drama;War
tt0086250;scarface;1983;8.3;0;0;0.00;0;0.00;Crime;Drama
tt0105323;scent_of_a_woman;1992;8.0;1;3;7.50;0;0.00;Drama
tt0108052;schindler_s_list;1993;8.9;7;5;23.88;2;5.00;Biography;Drama;History
tt0114369;se7en;1995;8.6;0;1;0.75;0;0.00;Crime;Drama;Mystery
tt0379786;serenity;2005;8.0;0;0;0.00;0;0.00;Action;Adventure;Sci-Fi
tt0814314;seven_pounds;2008;7.7;0;0;0.00;0;0.00;Drama;Romance
tt0047478;seven_samurai;1954;8.7;0;2;0.25;0;0.00;Adventure;Drama
tt1723811;shame;2011;7.3;0;0;0.00;0;0.00;Drama
tt0365748;shaun_of_the_dead;2004;8.0;0;0;0.00;0;0.00;Comedy;Horror
tt1130884;shutter_island;2010;8.1;0;0;0.00;0;0.00;Mystery;Thriller
tt3397884;sicario;2015;7.6;0;3;2.50;0;0.00;Action;Crime;Drama
tt0375063;sideways;2004;7.5;1;4;8.25;1;2.00;Comedy;Drama;Romance
tt0490215;silence;2016;7.7;0;0;0.00;0;0.00;Drama;History
tt0401792;sin_city;2005;8.0;0;0;0.00;0;0.00;Crime;Thriller
tt1127715;sin_nombre;2009;7.6;0;0;0.00;0;0.00;Adventure;Crime;Drama
tt0045152;singin_in_the_rain;1952;8.3;0;2;1.88;0;0.00;Comedy;Musical;Romance
tt0346156;sky_captain_and_the_world_of_tomorrow;2004;6.1;0;0;0.00;0;0.00;Action;Adventure;Mystery
tt0117666;sling_blade;1996;8.0;1;1;6.00;0;0.00;Drama
